🚀,Proposal Name,github.com/tc39/,Legacy URL,Champion(s),Stage
,Array.prototype.includes,Array.prototype.includes,,Domenic Denicola & Rick Waldron,4
,Exponentiation Operator,,https://github.com/rwaldron/exponentiation-operator,Rick Waldron,3
,SIMD APIs,ecmascript_simd,https://docs.google.com/presentation/d/1MY9NHrHmL7ma7C8dyNXvmYNNGgVmmxXk8ZIiQtPlfH4/edit?usp=sharing,John McCutchan & Peter Jensen & Dan Gohman & Daniel Ehrenberg,3
,Async Functions,ecmascript-asyncawait,,Brian Terlson,3
,Object.values/Object.entries,proposal-object-values-entries,,Jordan Harband,3
,String padding,proposal-string-pad-start-end,,Jordan Harband & Rick Waldron,3
,Trailing commas in function parameter lists and calls,,https://jeffmo.github.io/es-trailing-function-commas/,Jeff Morrison,3
,function.sent metaproperty,,https://github.com/allenwb/ESideas/blob/master/Generator%20metaproperty.md,Allen Wirfs-Brock,2
,Rest/Spread Properties,,https://github.com/sebmarkbage/ecmascript-rest-spread,Sebastian Markbage,2
,ArrayBuffer.transfer,,https://gist.github.com/lukewagner/2735af7eea411e18cf20,Luke Wagneer & Allen Wirfs-Brock,1
🚀,Additional export-from Statements,,https://github.com/leebyron/ecmascript-more-export-from,Lee Byron,1
🚀,Class and Property Decorators,,https://github.com/wycats/javascript-decorators/blob/master/README.md,Yehuda Katz & Jonathan Turner,1
,Function.prototype.toString revision,,https://github.com/michaelficarra/Function-prototype-toString-revision,Michael Ficarra,1
,Observable,,https://github.com/zenparsing/es-observable,Kevin Smith & Jafar Husain,1
,"String.prototype.{trimLeft,trimRight}",,https://github.com/sebmarkbage/ecmascript-string-left-right-trim,Sebastian Markbage,1
,Class Property Declarations,,https://github.com/jeffmo/es-class-fields-and-static-properties,Jeff Morrison,1
,String#matchAll,String.prototype.matchAll,,Jordan Harband,1
,Shared memory and atomics,,https://github.com/lars-t-hansen/ecmascript_sharedmem,Lars T Hansen,1
🚀,Callable class constructors,,https://github.com/tc39/ecma262/blob/master/workingdocs/callconstructor.md,Yehuda Katz & Allen Wirfs-Brock,1
,System.global,proposal-global,,Jordan Harband,1
